fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,seed,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,envios,ganancia,iteracion,subidaKaggle
20221002 043609,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,21,TRUE,519427,0.2570035809,0.2137617333,717,1039,9065,24110000,65,
20221001 215729,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,60,TRUE,519427,0.2075725821,0.5818246511,6692,1243,13284,23680000,8,
20221002 040230,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,73,TRUE,519427,0.205114893,0.7665630778,336,675,11300,23640000,53,
20221001 221118,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,75,TRUE,519427,0.2577634537,0.2157917128,2000,1092,5275,23370000,14,
20221001 221210,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,29,TRUE,519427,0.09491518837,0.9701903629,1017,567,13943,23160000,16,
20221002 041020,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,184,TRUE,519427,0.08059818499,0.5676691097,7339,789,14247,22870000,57,
20221001 215820,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,164,TRUE,519427,0.05142779625,0.2436455249,3502,1591,14409,22790000,10,
20221002 043549,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,56,TRUE,519427,0.2972975768,0.4622249418,6044,1083,13813,22460000,64,
20221002 043315,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,65,TRUE,519427,0.180664567,0.5837193414,2410,711,14512,22340000,61,
20221002 043840,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,66,TRUE,519427,0.2257057749,0.2202804875,248,857,12954,22180000,69,
20221001 221257,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,230,TRUE,519427,0.2770573234,0.7694409515,126,104,8752,21780000,17,
20221001 221501,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,72,TRUE,519427,0.2456801335,0.4159727588,5778,216,14576,21730000,19,
20221002 043857,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,46,TRUE,519427,0.266730105,0.4825962073,4699,1222,14664,21640000,70,
20221002 060927,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,218,TRUE,519427,0.1730701686,0.9757039667,12,1787,6057,20450000,98,
